title,year,img file name,material,size,URL
Involute,2017,60.jpg,Alabaster,142.5×89.5×70 cm,http://anishkapoor.com/4846/involute
Destierro,2017,61.jpg,"Earth, pigment and mechanical digger",Dimensions variable,http://anishkapoor.com/4582/destierro
Split (Matt Black),2017,62.jpg,Stainless steel and lacquer,175×175×20.5,http://anishkapoor.com/4337/mirror-matt-black
Mipa Blue to Wild Cherry and Black,2016,63.jpg,Stainless steel and lacquer,160×160×22 cm,http://anishkapoor.com/4334/mirror-mipa-blue-to-wild-cherry-and-black
Untitled,2017,64.jpg,Granite,306×210×70 cm,http://anishkapoor.com/5093/untitled-99
Stackhouse,2017,65.jpg,450×450×450 cm,Ice,http://anishkapoor.com/4321/stackhouse
Random Triangle Mirror,2016,66.jpg,Stainless steel and resin,150×150×22 cm,http://anishkapoor.com/4965/random-triangle-mirror
It Gleamed Like Blood,2016,67.jpg,Stainless steel and lacquer,153.5×153.5×21 cm,http://anishkapoor.com/4962/it-gleamed-like-blood
Wrap,2016,68.jpg,"Silicone, fibreglass and gauze",195×105×50 cm,http://anishkapoor.com/4957/wrap
Between Two Deaths,2016,69.jpg,Silicone and pigment on hessian,193×135×23 cm,http://anishkapoor.com/4944/between-two-deaths
Muscular,2016,70.jpg,"Silicone, fibreglass and gauze",160×285×130 cm,http://anishkapoor.com/4925/muscular
Hung,2016,71.jpg,Silicone and fibreglass,100×115×63 cm,http://anishkapoor.com/4922/hung
I looking in at me,2016,72.jpg,"Silicone, fibreglass and gauze",169×162×117 cm,http://anishkapoor.com/4913/i-looking-in-at-me
Seep,2016,73.jpg,"Silicone, fibreglass and gauze",200×92×49 cm,http://anishkapoor.com/4895/seep
Untitled,2016,74.jpg,"Silicone, wood, aluminium",155×155×35 cm,http://anishkapoor.com/4198/untitled-78
Oral,2016,75.jpg,Silicone and pigment,130×145×55 cm,http://anishkapoor.com/4194/oral
Fetish Body Inside Out,2016,76.jpg,Silicone and hair,181×120×17 cm,http://anishkapoor.com/4190/fetish-body-inside-out
First Milk,2015,77.jpg,Silicone and pigment,180×230×60 cm,http://anishkapoor.com/4185/first-milk
Unborn,2016,78.jpg,Silicone and pigment,270×170×100 cm,http://anishkapoor.com/4181/unborn
Untitled,2016,79.jpg,Gouache on paper,25×33.5 cm,http://anishkapoor.com/4091/untitled-36
Mipa Blue to Cobalt Blue,2016,80.jpg,Stainless steel and lacquer,155×155×17 cm,http://anishkapoor.com/4087/mirror-mipa-blue-to-cobalt-blue
Hysterical Sexual,2016,81.jpg,Fibreglass and gold,150×97×41 cm,http://anishkapoor.com/4081/hysterical-sexual
Shade,2016,82.jpg,"Silicone, fibreglass and gauze",230×325×225 cm,http://anishkapoor.com/4771/shade
Ooze,2016,83.jpg,"Silicone, fibreglass and gauze",252×197×233 cm,http://anishkapoor.com/6897/ooze
Mother Rising,2016,84.jpg,Gouache on paper,50.5×67 cm,http://anishkapoor.com/6895/mother-rising
Tongue Memory,2016,85.jpg,Silicone and pigment,250×130×70 cm,http://anishkapoor.com/3992/tongue-memory
Three Days of Mourning,2016,86.jpg,"Silicone, mixed media and pigment",250×12×70 cm,http://anishkapoor.com/3987/3-days
"Mother, Mother",2016,87.jpg,"Silicone, mixed media and pigment",230×150×60 cm,http://anishkapoor.com/3984/mother-mother
Place Under,2016,88.jpg,Resin and earth,324×238×410 cm,http://anishkapoor.com/3980/place-under
Horizon Red,2016,89.jpg,Stainless steel and lacquer,185×185×21 cm,http://anishkapoor.com/4562/horizon-red
Lady Chrysanthe,2016,90.jpg,Fibreglass and gold,65×65×65 cm,http://anishkapoor.com/4175/lady-chrysanthe
She Begins,2016,91.jpg,Gouache on paper,67×101 cm,http://anishkapoor.com/4547/she-begins
Today you will be in paradise,2016,92.jpg,Silicone and pigment,250×195×45 cm,http://anishkapoor.com/3971/today-you-will-be-in-paradise
Red Images–In the Red,2016,93.jpg,"Silicone, fibreglass and gauze",315×335×225 cm,http://anishkapoor.com/4514/red-images-in-the-red
She Wolf,2016,94.jpg,Resin and earth270×900×53 cm,None,http://anishkapoor.com/3950/she-wolf
To a Mouth,2016,95.jpg,"Silicone, fibreglass and gauze",181×151×167 cm,http://anishkapoor.com/4404/to-a-mouth
Tongue,2016,96.jpg,Gouache on paper,50.6×67 cm,http://anishkapoor.com/4366/tongue
Stone Saddle,2016,97.jpg,Alabaster,62×169×61,http://anishkapoor.com/5089/stone-saddle
Clip,2016,98.jpg,Stainless steel,150×75×41 cm,http://anishkapoor.com/5047/clip
Her Body in Violet Mist,2016,99.jpg,"Silicone, fibreglass and gauze ",342×200×97 cm,http://anishkapoor.com/4273/her-body-in-violet-mist
Her Body in Alizarin Mist,2016,100.jpg,"Silicone, fibreglass and gauze",242×215×145 cm,http://anishkapoor.com/4263/her-body-in-alizarin-mist
Heavenly Body,2016,101.jpg,"Silicone, fibreglass and gauze",90×245×65 cm,http://anishkapoor.com/4259/heavenly-body
First Covering,2016,102.jpg,"Silicone, fibreglass and cloth",160×150×57 cm,http://anishkapoor.com/4255/first-covering
Flayed II,2016,103.jpg,Silicone and hessian on board,182×133×29 cm,http://anishkapoor.com/4266/flayed-ii
Flayed,2016,104.jpg,Silicone and hessian on board,182×133×29 cm,http://anishkapoor.com/4247/flayed
Weight,2015,105.jpg,None,None,http://anishkapoor.com/4906/weight
Untitled,2015,106.jpg,Wax and metal,98×98×27 cm,http://anishkapoor.com/4856/untitled-93
Untitled,2015,107.jpg,Resin and earth,112×163×147 cm,http://anishkapoor.com/4851/untitled-92
Corner to Corner,2015,108.jpg,Fibreglass and paint,65.5×65.5×65.5 cm,http://anishkapoor.com/1063/corner-to-corner
Untitled,2015,109.jpg,Gouache on paper,50.5×67 cm,http://anishkapoor.com/4097/untitled-77
Untitled,2015,110.jpg,Gouache on paper,50.5×67 cm,http://anishkapoor.com/4095/untitled-76
Untitled,2015,111.jpg,Gouache on paper,50.5×67 cm,http://anishkapoor.com/4093/untitled-75
Sectional Body preparing for Monadic Singularity,2015,112.jpg,PVC and steel,7.32×7.32×7.32 m,http://anishkapoor.com/1052/sectional-body-preparing-for-monadic-singularity
Monochrome (Planet Green),2015,113.jpg,Fibreglass and paint187×187×38 cm,None,http://anishkapoor.com/3910/monochrome-planet-green
Gossamer,2015,114.jpg,Pink onyx,50×233×76 cm,http://anishkapoor.com/1054/gossamer
In-between,2015,115.jpg,fibreglass and gold,80×20×7 cm,http://anishkapoor.com/1044/in-between
Dirty Corner,2011–2015,116.jpg,Mixed media ,Dimensions variable,http://anishkapoor.com/1053/dirty-corner-5
Disrobe,2013,117.jpg,Silicone and pigment,140×188×55 cm,http://anishkapoor.com/1048/disrobe
Internal Objects in Three Parts,2013-2015,118.jpg,Silicone and pigment,each: 293×218×40 cm,http://anishkapoor.com/1026/internal-objects-in-three-parts
"Gabriel, the Angel, stops and listens to the silence of the cave",2014,119.jpg,Resin and Earth,295×463×240 cm,http://anishkapoor.com/1020/gabriel-the-angel-stops-and-listens-to-the-silence-of-the-cave
Keriah II,2014,120.jpg,Silicone and pigment,250×155×53 cm,http://anishkapoor.com/1012/keriah-ii
Untitled,2014,121.jpg,Gouache on shiramine paper,40.4×213.5 cm,http://anishkapoor.com/4213/untitled-79
Gathering Clouds I-IV,2014,122.jpg,Fibreglass and paint,Dimensions variable,http://anishkapoor.com/4849/gathering-clouds-i-iv
Like an Ear,2014,123.jpg,Pink onyx,38×170×140 cm,http://anishkapoor.com/4834/like-an-ear
Grunt,2014,124.jpg,Gouache on paper,50.6×67.2 cm,http://anishkapoor.com/4699/grunt
Keriah III,2014,125.jpg,Silicone and pigment,220×157×63 cm,http://anishkapoor.com/3942/keriah-iii
Gold Corner,2014,126.jpg,Fibreglass and gold,63.5×63.5×63.5 cm,http://anishkapoor.com/1064/gold-corner
Descension,2014,None,,None,http://anishkapoor.com/1010/descension
You instructed me Oh Mother,2013,128.jpg,Silicone and oil on canvas,214×580 cm,http://anishkapoor.com/4902/you-instructed-me-oh-mother
Curtain,2013,129.jpg,None,None,http://anishkapoor.com/6057/curtain
Blind,2013,130.jpg,Alabaster,103×129×41 cm,http://anishkapoor.com/4685/blind
Splush,2013,131.jpg,Cement,220×152×146 cm,http://anishkapoor.com/4683/splush
Stick Men I–X,2013,132.jpg,Cement,Dimensions variable,http://anishkapoor.com/4597/sick-men-i-x
Sophia,2013,133.jpg,Marble,215×123×133 cm,http://anishkapoor.com/4688/sophia
Cosmobiology,2013,134.jpg,Resin,126×128×500 cm,http://anishkapoor.com/985/cosmobiology
Untitled,2013,135.jpg,"Cement, wood and steel",189×125×108 cm,http://anishkapoor.com/979/untitled
1st Body,2013,136.jpg,Resin,Dimensions variable,http://anishkapoor.com/971/1st-body
Ark Nova,2013,137.jpg,P.V.C  18×29×36 m,"Lucerne Festival, Matsushima, Japan, 2013",http://anishkapoor.com/957/ark-nova
Symphony for a Beloved Sun,2013,138.jpg,"Wax, steel, canvas and paint",Dimensions variable,http://anishkapoor.com/943/symphony-for-a-beloved-sun
Apocalypse and Millennium,2013,139.jpg,Resin and earth,270×450×295 cm,http://anishkapoor.com/942/apocalypse-and-millennium
Gethsemane,2013,140.jpg,Resin and paint,Dimensions variable,http://anishkapoor.com/962/gethsemane
Non-Object (Square Twist),2013,141.jpg,Stainless steel,250×144×100 cm,http://anishkapoor.com/1006/non-object-square-twist
Red Display,2012,142.jpg,Silicone on canvas,315×215×20 cm,http://anishkapoor.com/4253/red-display
Ovaries of the Jewess,2012,143.jpg,Silicone on canvas,215×160×17 cm,http://anishkapoor.com/4250/ovaries-of-the-jewess
All Inside Myself,2012,144.jpg,Silicone on canvas,215×170×17 cm,http://anishkapoor.com/4947/all-inside-myself
In the Shadow of the Tree and the Knot of the Earth I–XIII,2008-2010,145.jpg,None,None,http://anishkapoor.com/5238/in-the-shadow-of-the-tree-and-the-knot-of-the-earth-i-xiii
Robe,2012,146.jpg,"Silicone, mixed media and canvas",295×170×86 cm,http://anishkapoor.com/6053/robe
Lost,2012,147.jpg,Fibreglass and paint,188×188×77 cm,http://anishkapoor.com/4859/lost
Untitled,2012,148.jpg,Corten steel,522×612×585 cm,http://anishkapoor.com/5301/untitled-100
Dissection,2012,149.jpg,Silicone on canvas,223×305×20 cm,http://anishkapoor.com/4692/dissection
Ga Gu Ma,2012,150.jpg,Cement,Dimensions variable,http://anishkapoor.com/4603/ga-gu-ma
Erosion,2012,151.jpg,Fibreglass and marble,97×175×155 cm,http://anishkapoor.com/4574/erosion
Keriah IV,2012,152.jpg,Silicone and pigment,143×116×29 cm,http://anishkapoor.com/3960/keriah-iv
Double Vertigo,2012,153.jpg,Stainless steel,218×480×102 cm,http://anishkapoor.com/1025/double-vertigo
A Ghosts Endeavour,2012,154.jpg,Fibreglass and marble,248×126×126 cm,http://anishkapoor.com/954/a-ghosts-endeavour
Organ,2012,155.jpg,Mixed media and pigment,242×344×166 cm,http://anishkapoor.com/900/organ
Cave,2012,156.jpg,Corten steel,551×800×805 cm,http://anishkapoor.com/916/cave
Double Vertigo,2012,157.jpg,Stainless steel,Dimensions variable,http://anishkapoor.com/998/double-vertigo-2
Shine,2012,158.jpg,Fibreglass and paint,126×140×128 cm,http://anishkapoor.com/923/shine
Innocent Blood,2012,159.jpg,Fibreglass and paint,,http://anishkapoor.com/907/innocent-blood
Spittle,2012,160.jpg,Cement,233×152×143 cm,http://anishkapoor.com/980/spittle
Intersection,2012,161.jpg,Cor Ten steel,,http://anishkapoor.com/955/intersection
Orbit,2012,162.jpg,Steel,"Height:115 metres",http://anishkapoor.com/889/orbit
Death of Leviathan,2011–2013,163.jpg,P.V.C,Dimensions variable,http://anishkapoor.com/963/death-of-leviathan
Leviathan,2011,164.jpg,PVC,33.6×99.89×72.23 metres,http://anishkapoor.com/684/leviathan
Dirty Corner,2011,165.jpg,"Corten Steel, earth and mixed media","8.9×6.55×60m",http://anishkapoor.com/686/dirty-corner-3
Untitled,2011,166.jpg,Gouache on paper,50.5×67 cm,http://anishkapoor.com/817/untitled-2
Untitled,2011,167.jpg,Gouache on paper,50.5×67 cm,http://anishkapoor.com/810/untitled-3
Untitled,2011,168.jpg,Stainless steel and laquer,155×155×37 cm,http://anishkapoor.com/808/untitled-4
Between Shit and Architecture,2011,169.jpg,Concrete,Dimensions variable,http://anishkapoor.com/691/between-shit-and-architecture
Untitled,2011,170.jpg,Resin and paint,141×91×71 cm,http://anishkapoor.com/767/untitled-5
Untitled,2011,171.jpg,Resin and paint,,http://anishkapoor.com/757/untitled-6
Untitled,2011,172.jpg,Copper and lacquer,139×139×23 cm,http://anishkapoor.com/723/untitled-7
Untitled,2010,173.jpg,"Fibreglass, copper, silver and gold plate",65×31×40 cm,http://anishkapoor.com/4874/untitled-94
Untitled,2010,174.jpg,"Fibreglass, copper, silver and gold plate",71×51×53 cm,http://anishkapoor.com/719/untitled-8
Untitled,2010,175.jpg,Stainless steel and gold plate,160×160×34 cm,http://anishkapoor.com/720/untitled-9
Temenos,2010,176.jpg,Steel,"50×50×110 metres",http://anishkapoor.com/760/temenos
Untitled,2010,177.jpg,Stainless steel,179.5×176×26 cm,http://anishkapoor.com/805/untitled-10
Untitled,2010,178.jpg,fibreglass and paint,,http://anishkapoor.com/717/untitled-11
Untitled,2010,179.jpg,Stainless steel,230×230×45 cm,http://anishkapoor.com/416/untitled-12
Untitled,2010,180.jpg,Resin and paint,152×152×10 cm,http://anishkapoor.com/663/untitled-13
Untitled,2010,181.jpg,Nickel and gold,241×120×60 cm,http://anishkapoor.com/595/untitled-14
Untitled,2010,182.jpg,Gouache on paper,56.5×76 cm,http://anishkapoor.com/956/untitled-15
Non-Object (Plane),2010,183.jpg,Stainless steel,487.6×219×46 cm,http://anishkapoor.com/118/non-object-plane
Turning the World Upside Down,2010,184.jpg,Stainless steel,"5×5×5m",http://anishkapoor.com/111/turning-the-world-upside-down
Untitled,2010,185.jpg,Mixed media and wax,135.5×135.5×222.5 ,http://anishkapoor.com/642/untitled-16
Untitled,2010,186.jpg,Gouache on paper,50×67 cm,http://anishkapoor.com/818/untitled-17
Hex Mirror,2009,187.jpg,Stainless steel and resin,220×220×41 cm,http://anishkapoor.com/4968/hex-mirror
Untitled,2009,188.jpg,Stainless steel and gold plate ,120×120×27.5 cm,http://anishkapoor.com/6120/untitled-138
With a Past,2009,189.jpg,Marble and river stones,203×224×123 cm,http://anishkapoor.com/990/with-a-past
"Sky Mirror, Red",2009,190.jpg,Stainless steel and lacquer,"",http://anishkapoor.com/109/sky-mirror-red
Untitled,2009,191.jpg,Stainless steel,23×200×120 cm,http://anishkapoor.com/562/untitled-18
Untitled,2009,192.jpg,Stainless steel,300×300×61 cm,http://anishkapoor.com/107/untitled-19
Slug,2009,193.jpg,Fibreglass and paint,415×600×465 cm,http://anishkapoor.com/245/slug
Hive,2009,194.jpg,Corten steel,560×1007×755cm,http://anishkapoor.com/695/hive
Tall Tree and the Eye,2009,195.jpg,Stainless steel,13×5×5 metres,http://anishkapoor.com/391/tall-tree-and-the-eye
Dirty Corner,2009,196.jpg,None,None,http://anishkapoor.com/586/dirty-corner-4
Untitled,2009,197.jpg,Gouache on paper,50×67 cm,http://anishkapoor.com/819/untitled-20
Sky Mirror,2009,198.jpg,270×270×151 cm,"Stainless steel",http://anishkapoor.com/274/sky-mirror-2
Imagined Monochrome,2009,199.jpg,Mixed media,Dimensions variable,http://anishkapoor.com/603/imagined-monochrome-2
Dismemberment of Jeanne d’Arc,2009,200.jpg,Mixed media,Dimensions variable,http://anishkapoor.com/131/dismemberment-of-jeanne-darc
"Dismemberment, Site I",2003–2009,201.jpg,PVC and steel,"25×25×84 m",http://anishkapoor.com/127/dismemberment-site-i
Push Pull II,2009,202.jpg,"Steel, wax and oil-based paint",500×895×90 cm,http://anishkapoor.com/392/push-pull-ii
Memory,2008,203.jpg,Corten steel,14.5×8.97×4.48m,http://anishkapoor.com/128/memory
Untitled,2008,204.jpg,Stainless steel,,http://anishkapoor.com/721/untitled-21
Islamic Mirror,2008,205.jpg,Stainless steel,"249.6×134.6×18 cm",http://anishkapoor.com/564/islamic-mirror
Horizon,2008,206.jpg,Fibreglass and paint,300×300×150 cm,http://anishkapoor.com/421/horizon
Untitled,2008,207.jpg,Fibreglass and paint,301×302×150 cm,http://anishkapoor.com/622/untitled-22
Screen,2008,208.jpg,Resin and paint,189×206×144 cm,http://anishkapoor.com/809/screen
Untitled,2008,209.jpg,Gouache on paper,50.7×67 cm,http://anishkapoor.com/820/untitled-23
Non-Object (Pole),2008,210.jpg,Stainless steel,238.8×215.9×215.9 cm,http://anishkapoor.com/122/non-object-pole
Non-Object (Door),2008,211.jpg,Stainless steel,281×118 ×118 cm,http://anishkapoor.com/120/non-object-door
Drip,2008,212.jpg,Resin and paint,269.5×193×149.9 cm,http://anishkapoor.com/591/drip
Drop,2008,213.jpg,Resin and paint,221×218×97.5 cm,http://anishkapoor.com/415/drop
Untitled,2008,214.jpg,Resin and paint,220×220×32 cm,http://anishkapoor.com/4665/untitled-89
Mars,2008,215.jpg,Fibreglass and earth,60×60×60 cm,http://anishkapoor.com/4579/mars
Double Corner,2008,216.jpg,Resin and paint,Dimensions variable,http://anishkapoor.com/587/double-corner
Here For Alba,2008,217.jpg,Fibreglass and paint,300×281×227 cm,http://anishkapoor.com/113/here-for-alba
Blood Stick,2008,218.jpg,Resin and pigment,140×1020×134 cm,http://anishkapoor.com/766/blood-stick
"Greyman Cries, Shaman Dies, Billowing Smoke,  Beauty Evoked",2008–2009,219.jpg,Concrete ,Dimensions variable,http://anishkapoor.com/130/greyman-cries-shaman-dies-billowing-smoke-beauty-evoked
Shadow Corner,2008-09,220.jpg,"Steel, wood, wax and oil-based paint",420×398×405 cm,http://anishkapoor.com/600/shadow-corner
Shooting Into the Corner,2008–2009,221.jpg,Mixed media,Dimensions variable,http://anishkapoor.com/139/shooting-into-the-corner
Untitled,2007,222.jpg,Resin and paint,500×500×555 cm,http://anishkapoor.com/589/untitled-24
Shelter,2007,223.jpg,Fibreglass and paint,302×302×148.5cm,http://anishkapoor.com/82/shelter
Hexagon Mirror,2007,224.jpg,Stainless steel and resin,232×232×44 cm,http://anishkapoor.com/6113/hexagon-mirror
Flower,2007,225.jpg,Mixed media and paint,245×123×36 cm,http://anishkapoor.com/991/flower
Untitled,2007,226.jpg,Stainless steel and lacquer,152×152×72 cm,http://anishkapoor.com/414/untitled-25
Stack,2007,227.jpg,"Forklift truck, wax and oil-based paint",510×105×225 cm,http://anishkapoor.com/132/stack
Non-Object (Spire),2007,228.jpg,Stainless Steel,"302.2×300×300 cm",http://anishkapoor.com/121/non-object-spire
C–Curve,2007,229.jpg,Stainless steel,220×770×300 cm,http://anishkapoor.com/117/c-curve
Double Hexagon,2007,230.jpg,Stainless steel,227.5×385.3×44 cm,http://anishkapoor.com/563/double-hexagon
"I Have Places Like These, You Have Places Like These",2007,231.jpg,Resin and paint,210×560×210 cm,http://anishkapoor.com/575/i-have-places-like-these-you-have-places-like-these
States of Limbo,2007,232.jpg,Resin and paint,Dimensions variable,http://anishkapoor.com/569/states-of-limbo
Laboratory for a New Model of the Universe,2006,233.jpg,Acrylic,123×134.1×132.7cm,http://anishkapoor.com/97/laboratory-for-a-new-model-of-the-universe
Untitled,2007,234.jpg,Stainless steel,each part: 205×231×45 cm,http://anishkapoor.com/560/untitled-26
Archaeology and Biology,2007,235.jpg,Mixed media,Dimensions variable,http://anishkapoor.com/579/archaeology-and-biology
Grey Landscape Mirror,2007,236.jpg,Fibreglass and paint,301×301×115 cm,http://anishkapoor.com/883/grey-landscape-mirror
Svayambhu,2007,237.jpg,Wax and oil-based paint,Dimensions variable,http://anishkapoor.com/138/svayambh
Untitled,2007,238.jpg,Gouache on paper,67×33.5 cm,http://anishkapoor.com/821/untitled-27
Vertigo,2006,239.jpg,Stainless steel,225×480×60 cm,http://anishkapoor.com/116/vertigo
Dark Brother,2006,240.jpg,"Wood, rubber and aluminium",180.5×200.7×77.5 cm,http://anishkapoor.com/419/dark-brother
To Divide,2006,241.jpg,"Wax, steel, paint and wood",Dimensions variable,http://anishkapoor.com/418/to-divide
Blood Relations,"2006
In collaboration with Salman Rushdie",242.jpg,Bronze and wax,100×432×151 cm,http://anishkapoor.com/413/blood-relations
Untitled,2006,243.jpg,Fibreglass and paint,244×122×58 cm,http://anishkapoor.com/590/untitled-28
Inwendig Volle Figur,2006,244.jpg,Resin and paint,180×325×374 cm,http://anishkapoor.com/568/inwendig-volle-figur
Marsupial,2006,245.jpg,Resin and paint,245×370×247 cm,http://anishkapoor.com/115/marsupial
Halo,2006,246.jpg,Stainless steel,300×300×70 cm,http://anishkapoor.com/6026/halo
Cloud Column,1998–2006,247.jpg,Stainless steel,"895×332×203 cm",http://anishkapoor.com/561/untitled-29
